12996.json,pants-fire,The number of illegal immigrants could be 3 million. It could be 30 million.,donald-trump,President-Elect,New York,republican,63,114,51,37,61,"a speech in Phoenix, Ariz."
8162.json,mostly-true,Marijuana is less toxic than alcohol.,marijuana-policy-project,,,none,0,0,0,1,0,a TV ad
10064.json,FALSE,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,republican-party-florida,,,republican,10,6,6,6,4,a TV ad
1084.json,TRUE,"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.",lindsey-graham,U.S. senator,South Carolina,republican,2,2,4,2,0,a Senate hearing
13231.json,barely-true,I was gone when there was a red line against Syria.,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,the second presidential debate
13089.json,half-true,"Tim Kaine hiked tuition as governor, but now claims to champion affordability.",republican-national-committee-republican,,,republican,6,6,11,5,2,a blog post.
1051.json,TRUE,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",mike-pence,Governor,Indiana,republican,8,10,12,5,0,MSNBC interview.
4161.json,mostly-true,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,cliff-stearns,U.S. representative,Florida,republican,0,0,2,1,0,a press release
11966.json,FALSE,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,cory-gardner,U.S. House of Representatives,Colorado,republican,4,1,0,0,0,a talk show
9800.json,FALSE,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",sarah-palin,,Alaska,republican,9,19,9,6,6,a commentary
816.json,half-true,On which team hes rooting for in the World Series.,barack-obama,President,Illinois,democrat,70,71,160,163,9,
2646.json,half-true,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,democratic-congressional-campaign-committee,,,democrat,11,8,5,1,9,an election ad
12381.json,TRUE,The United States has a low voter turnout rate.,mamie-locke,State senator,Virginia,democrat,0,0,0,0,0,an interview.
8567.json,half-true,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",herman-cain,,Georgia,republican,4,11,5,3,3,a video on Cain TV
9092.json,barely-true,"Because of the federal health care law, 300,000 health plans canceled in Florida.",rick-scott,Governor,Florida,republican,28,23,38,34,7,a television ad from Let's Get to Work
10055.json,mostly-true,"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",jeanne-shaheen,Senator,New Hampshire,democrat,3,0,4,2,0,an ad
4513.json,TRUE,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",dennis-kucinich,U.S. representative,Ohio,democrat,1,3,4,6,0,a television interview
10340.json,TRUE,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,kevin-brady,U.S. House member,Texas,republican,1,0,0,1,0,a press release
6849.json,barely-true,Pre-existing conditions are covered under my (health care) plan.,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a presidential debate in Denver
10971.json,half-true,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.",doonesbury,,,none,0,0,2,4,0,the strip about Greg Abbott and the Jade Helm military exercise
13251.json,pants-fire,Says he won the second debate with Hillary Clinton in a landslide in every poll.,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a tweet
7545.json,barely-true,Says bag litter increased after San Francisco banned single-use shopping bags.,drew-springer,,,republican,1,0,0,0,0,a press release
4929.json,mostly-true,"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,"a Republican presidential debate in Des Moines, Iowa"
6239.json,barely-true,"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",robert-menendez,U.S. Senator,New Jersey,democrat,1,3,1,3,0,an interview on Richard French Live
266.json,half-true,"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"a debate in Manchester, N.H."
8841.json,mostly-true,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union address
6313.json,FALSE,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",steve-brown,Fayette County Commissioner,Georgia,republican,0,1,1,0,0,a forum hosted by The Atlanta Journal-Constitution
9550.json,barely-true,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,an interview at the Aspen Ideas Festival
9612.json,half-true,Says Charlie Crist voted against raising the minimum wage.,republican-party-florida,,,republican,10,6,6,6,4,a campaign commercial
13272.json,barely-true,Hillary Clinton said gun confiscation would be worth considering.,national-rifle-association,,,none,3,5,1,5,3,a flier.
7562.json,mostly-true,"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.",jeb-bush,,Florida,republican,17,5,17,24,2,a speech at CPAC
3121.json,half-true,"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.",david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,his inaugural address.
9578.json,FALSE,When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,jeff-flake,U.S. Senator,Arizona,republican,0,1,0,0,0,"an interview on the PBS ""News Hour"""
4553.json,half-true,Says Gov. Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding.,committee-our-childrens-future,Political advocacy group,New Jersey,none,0,0,2,1,0,a television ad
2356.json,mostly-true,Hes the only candidate whos balanced budgets and brought jobs to Providence.,steven-costantino,House Finance Chairman,Rhode Island,democrat,0,1,0,1,0,a TV commercial
3453.json,half-true,"Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent.",hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,an article published in The Atlanta Journal-Constitution
1066.json,pants-fire,ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,an interview with the Washington Times.
2092.json,pants-fire,Sixty percent of the Hispanics support the Arizona immigration law,russell-pearce,,Arizona,republican,0,0,0,0,1,a CNN interview
7442.json,barely-true,"If the sequester hits, federal prosecutors will have to let criminals go.",barack-obama,President,Illinois,democrat,70,71,160,163,9,"a speech in Washington, D.C."
9910.json,barely-true,Says Dick Cheney de-Baathisized the Iraqi government and created ISIS.,chris-matthews,Host of MSNBC's Hardball,,none,1,2,2,1,0,a broadcast on MSNBC
11083.json,TRUE,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,carlos-curbelo,Miami-Dade school board member,Florida,republican,0,1,0,1,0,a radio interview
11443.json,FALSE,I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,steven-costantino,House Finance Chairman,Rhode Island,democrat,0,1,0,1,0,a statement
11539.json,half-true,"Obamacare insurance cooperative failures should be expected because theyre like any business, and when you start businesses in America, at the fifth year, half of the businesses have closed.",ezekiel-emanuel,Vice Provost for Global Initiatives and chair of the Department of Medical Ethics and Health Policy,,democrat,1,0,2,0,0,"a discussion on MSNBC's ""Up with Steve Kornacki"""
2966.json,FALSE,The tax cut deal is giving $700 billion to millionaires and billionaires.,sherrod-brown,U.S. Senator,Ohio,democrat,3,4,5,8,1,a CNN interview
13367.json,mostly-true,Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,patrick-murphy,,Florida,democrat,2,1,4,5,0,a Florida Senate debate
1087.json,mostly-true,"Across the country, $174 billion of the Recovery Act have been committed in its first 130 days.",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,a news release.
267.json,TRUE,"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",bill-richardson,Governor,New Mexico,democrat,1,2,3,8,1,"a debate in Manchester, N.H."
4272.json,TRUE,Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States.,lloyd-doggett,Texas congressman in the U.S. Houst of Representatives,Texas,democrat,1,0,2,7,0,an interview with ABC TV.
8849.json,half-true,"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",ian-prior,"Northeast regional spokesman, National Republican Congressional Committee",Rhode Island,republican,0,0,1,0,0,a Providence Journal commentary
12542.json,half-true,"Says Donald Trump has said he loves war, including with nukes.",priorities-usa-action,,,democrat,3,1,4,2,1,"an ad discussed on ""Meet the Press"""
8372.json,barely-true,"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",david-pennington,Mayor of Dalton,Georgia,none,1,0,0,0,0,a public meeting
3518.json,mostly-true,"Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion.",tim-pawlenty,,,republican,2,3,3,6,1,"his book, ""Courage to Stand: An American Story"""
8340.json,FALSE,A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,ted-cruz,Senator,Texas,republican,36,33,15,19,8,a news release
10218.json,half-true,Proximity to high-voltage power lines lowers property values by as much as 30 percent.,friends-india-point-park,,Rhode Island,organization,0,0,1,0,0,a web site
12698.json,FALSE,What the facts say is ...the best scenario for kids is a loving mom and dad.,reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2,12,8,3,1,"comments on ""Meet the Press"""
2357.json,FALSE,Says Mark Neumann = Nancy Pelosi,scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,campaign TV and radio ads
7823.json,half-true,"To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.",barbara-buono,State Senator,New Jersey,democrat,3,1,4,4,1,a gubernatorial campaign television ad
12541.json,barely-true,Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination.,donald-trump,President-Elect,New York,republican,63,114,51,37,61,"an interview on ""Meet the Press"""
2854.json,pants-fire,Rebuilding three high schools will benefit 40 percent of Portland Public School students.,carole-smith,Portland schools superintendent,Oregon,none,0,0,0,0,1,a press briefing
4719.json,half-true,Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money.,H204TEXAS-PAC,,,none,0,0,1,0,0,an email blast.
2072.json,TRUE,Providence has the lowest crime rate in three decades.,david-cicilline,mayor of Providence,Rhode Island,democrat,7,4,5,4,1,a debate
2885.json,FALSE,On banning earmarks.,bill-nelson,,Florida,democrat,3,1,8,10,0,Senate floor votes
13334.json,half-true,Says hes taken an 8% pay decrease in each of the nine years he has been in office.,gerald-daugherty,Businessman,Texas,republican,1,0,1,0,0,his campaign website
4820.json,half-true,1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,facebook-posts,Social media posting,,none,14,18,15,11,36,Facebook
12309.json,barely-true,The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program.,paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,a news release
1420.json,mostly-true,The Texas Department of Transportation... misplaced a billion dollars.,debra-medina,Businesswoman,Texas,republican,0,1,3,1,0,a debate.
8761.json,FALSE,A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,facebook-posts,Social media posting,,none,14,18,15,11,36,a Facebook post
2491.json,TRUE,"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",dave-yost,Ohio auditor,ohio,republican,1,0,0,1,0,a campaign video
1075.json,barely-true,"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . . health care for Kentucky's children,"" and ""fair pay for women.""",democratic-national-committee,,,none,8,2,10,8,0,a television ad
9762.json,TRUE,"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",bob-donovan,Member of Milwaukee Common Council,Wisconsin,none,0,0,0,1,1,an interview
5935.json,barely-true,Taxpayers subsidize 80 percent of each MARTA trip,brett-bittner,"Executive Director, Libertarian Party of Geo",,libertarian,1,0,0,0,0,an interview
2821.json,pants-fire,"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",george-allen,consultant,Virginia,republican,2,8,3,4,1,
6370.json,TRUE,Says Milken Institute rated San Antonio as nations top-performing local economy.,julian-castro,"Mayor, San Antonio",Texas,democrat,0,0,3,3,0,his speech at the Texas Democratic Party State Convention in Houston
3706.json,pants-fire,Says people in Africa literally walk two and three hundred miles in order to vote.,mike-bennett,State Senator,Florida,republican,0,0,0,0,1,comments made on the Senate floor.
10163.json,TRUE,"Before World War II, very few people actually had health insurance.",james-carr,manager of business operations at a community hospital,Virginia,libertarian,0,0,0,0,0,an interview
2796.json,FALSE,Half of children struck by cars near schools are hit by parents driving children to school.,safe-routes-schools,safety program,Oregon,none,0,1,0,0,0,a mailer
6083.json,barely-true,"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.",rick-scott,Governor,Florida,republican,28,23,38,34,7,comments to the press
5913.json,barely-true,Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants.,conservative-renewal-pac,Political action committee,Texas,republican,1,0,0,0,0,a TV ad.
934.json,TRUE,Putting three Republicans in my Cabinet...is unprecedented.,barack-obama,President,Illinois,democrat,70,71,160,163,9,a news conference
2162.json,barely-true,"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",kasim-reed,,,democrat,1,0,5,7,1,a press release
3161.json,mostly-true,"From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent.",rachel-maddow,MSNBC host,,none,6,6,4,6,1,"HBO's ""Real Time with Bill Maher"""
2679.json,TRUE,"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.",charlie-crist,,Florida,democrat,15,9,20,19,2,a U.S. Senate debate on CNN’s “State of the Union.”
8929.json,TRUE,"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1,2,2,3,0,a speech
10040.json,half-true,Muslim nations did not call out the people who celebrated the 9/11 attacks.,bill-oreilly,Fox News Channel host,,none,4,6,3,5,1,"a broadcast of Fox News' ""The O'Reilly Factor"""
12398.json,pants-fire,"Says Donald Trump said of women, And you can tell them to go f--- themselves.",priorities-usa-action,,,democrat,3,1,4,2,1,a television ad
2690.json,pants-fire,"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",kendrick-meek,,Florida,democrat,2,6,1,4,1,a debate
8667.json,TRUE,Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,bob-schieffer,Host of CBS' Face the Nation,"Washington, D.C.",journalist,0,1,0,0,0,comments at a forum at the Center for Strategic and International Studies
8941.json,TRUE,"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",wolf-blitzer,CNN host,,none,0,0,0,0,0,comments on CNN
6821.json,pants-fire,"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,an interview on NBC’s “Meet The Press”
10631.json,FALSE,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.,william-obrien,Speaker of the House of Representatives,New Hampshire,republican,1,2,1,0,0,a Facebook post
6579.json,half-true,Says President Obama and his National Labor Relations Board sued Boeing over its decision to open a plant in South Carolina.,nikki-haley,Governor,South Carolina,republican,0,0,1,3,0,a speech at the Republican convention
11400.json,mostly-true,"Says U.S. Sen. Ron Johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225,000 from polluters.",league-conservation-voters,,,organization,0,0,0,1,0,a television ad
3228.json,TRUE,Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,cenk-uygur,,,democrat,0,0,0,0,0,MSNBC Live
9746.json,half-true,More (student-athletes) graduate than the students who arent student-athletes.,mark-emmert,NCAA president,,none,0,0,1,0,0,"comments on ABC's ""This Week"""
1915.json,FALSE,U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.,donna-campbell,Physician,Texas,republican,0,1,0,1,0,a speech
12456.json,barely-true,"Its entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact, its quite likely.",pat-toomey,Candidate for U.S. Senate,Pennsylvania,republican,3,2,2,1,0,an interview with Chris Stigall on Talk Radio 1210 WPHT
4856.json,half-true,Says Mitt Romney flip-flopped on an assault weapons ban.,democratic-national-committee,,,none,8,2,10,8,0,a campaign advertisement
4698.json,FALSE,"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.",americans-prosperity-new-jersey,,,none,0,1,0,0,0,a television ad posted on YouTube
2585.json,barely-true,Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed.,christine-odonnell,Candidate for U.S. Senate,Delaware,republican,1,0,0,1,2,a campaign commercial
6604.json,barely-true,"When Tim Kaine was governor, spending soared, blowing holes in the budget every year.",crossroads-gps,Conservative advocacy group,,republican,9,1,4,1,2,a TV ad.
4495.json,pants-fire,President Obama has the lowest public approval ratings of any president in modern times.,michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,a Republican presidential debate in Orlando
8406.json,barely-true,"Neville Chamberlain told the British people: Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Lets appease them. Why? Because it cant be done. We cannot possibly stand against them.",ted-cruz,Senator,Texas,republican,36,33,15,19,8,speech advocating repeal of Obamacare law
10147.json,FALSE,On an income cap for recipients of the popular HOPE scholarship,jason-carter,State Senator,Georgia,democrat,1,0,2,1,0,forum
10623.json,mostly-true,Wisconsin is dead last in the Midwest for job creation.,mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1,2,2,3,0,an interview
2277.json,half-true,On running a civil and polite campaign.,roy-barnes,Attorney,Georgia,democrat,0,0,3,3,1,a television interview
8146.json,mostly-true,"Says President Barack Obama has taken 92 days of vacation since he was sworn in, compared to 367 for President George W. Bush at the same point in his presidency.",al-sharpton,,New York,democrat,2,1,1,1,0,"a segment of his MSNBC show, ""Politics Nation"""
6026.json,half-true,"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a debate
13056.json,TRUE,Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,national-republican-congressional-committee,,,republican,18,9,8,5,8,a blog post on the NRCC website
1103.json,pants-fire,"John Holdren, director of the White House Office of Science and Technology Policy, has proposed forcing abortions and putting sterilants in the drinking water to control population.",glenn-beck,,,none,5,7,7,2,6,his TV program
4444.json,mostly-true,Mitt Romney drove to Canada with the family dog Seamus strapped to the roof of the car.,gail-collins,Columnist for the New York Times,New York,journalist,2,1,1,3,0,a column
9269.json,FALSE,Many of the founding fathers were very actively involved in cockfighting.,matt-bevin,Investment manager,Kentucky,republican,0,1,0,1,1,a radio interview
4105.json,pants-fire,Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,shelly-moore,Teacher,Wisconsin,democrat,0,0,0,0,1,a campaign flier
8533.json,barely-true,The majority of people travelling to these destination resorts are not going for the primary purpose of gambling.,frank-fahrenkopf,Retired president and CEO of the American Gaming Association,,republican,1,0,0,0,0,"an opinion piece in the ""Miami Herald"""
6950.json,mostly-true,Says Bill Nelson voted 98 percent of the time with Barack Obama.,connie-mack,U.S. representative from Fort Myers,Florida,republican,3,3,1,3,1,a U.S. Senate debate
13125.json,barely-true,I did not I did not I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a presidential debate
8294.json,mostly-true,"In Florida we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly.",nan-rich,candidate for governor,Florida,democrat,1,0,1,3,0,"a ""Tampa Tribune"" blog"
9908.json,mostly-true,"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency, every law enforcement agency, thats a no-no.",mike-wise,"Columnist, Washington Post",,none,0,0,0,1,0,"comments on CNN's ""State of the Union"""
12424.json,FALSE,I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,todd-wilcox,,Florida,republican,0,1,1,0,0,a newspaper interview
4309.json,FALSE,Virginia has made no progress on jobs since Bob McDonnell took office.,democratic-party-virginia,,Virginia,democrat,2,1,1,3,0,a web video
110.json,FALSE,The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.,fred-thompson,Actor,Tennessee,republican,1,4,3,3,0,"a debate in Dearborn, Mich."
7677.json,mostly-true,"The sex-offender registry has been around for a long time, and the research thats out there says that it has no positive impact on the public safety.",ohio-public-defenders-office,,Ohio,none,0,0,0,1,0,a newspaper interview
4780.json,TRUE,Ronald Reagan raised the national debt 18 times.,jim-webb,writer,Virginia,democrat,1,0,1,5,0,a TV interview.
715.json,FALSE,On whether global warming is man-made.,sarah-palin,,Alaska,republican,9,19,9,6,6,"Fairbanks, Alaska"
3107.json,TRUE,The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.,dean-cannon,state House speaker,Florida,republican,1,0,0,0,0,comments to reporters.
7565.json,mostly-true,"Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess.",steve-latourette,Former U.S. representative from Ohio's 11th District,Ohio,republican,0,0,3,1,0,an interview on “Fox News Sunday”
8606.json,half-true,Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.,ron-johnson,,Wisconsin,republican,14,6,10,10,1,the weekly Republican address
3869.json,half-true,"When the union says I want to eliminate tenure, thats not true.",chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,a speech at the Harvard Graduate School of Education
10948.json,FALSE,Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,occupy-democrats,,,organization,0,4,3,1,4,a post on Facebook
12210.json,FALSE,Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned.,dan-forest,Lieutenant Governor,North Carolina,republican,0,1,0,0,0,a tweet
4119.json,mostly-true,Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts.,barack-obama,President,Illinois,democrat,70,71,160,163,9,a press conference
7272.json,barely-true,Social Security has nothing to do with the federal deficit.,hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,a twitter post
12236.json,half-true,About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a forum
4016.json,FALSE,On pay for fired Milwaukee police officers,alberta-darling,"State Senator, 8th District",Wisconsin,republican,1,1,2,1,1,an interview
6765.json,TRUE,Texas is the state that has now gone the longest without electing a Democrat statewide.,joaquin-castro,attorney,Texas,democrat,1,0,1,2,0,a panel at the Texas Tribune Festival.
11867.json,FALSE,Says CNN reported Ben Carson was taking a break from campaigning and the Cruz campaign forwarded that news to our volunteers.,ted-cruz,Senator,Texas,republican,36,33,15,19,8,the New Hampshire GOP debate
11777.json,TRUE,"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.",paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,a column posted on Medium.com
9051.json,pants-fire,"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more.",chain-email,,,none,11,43,8,5,105,a chain email
4243.json,mostly-true,The United States has the longest surviving constitution.,jon-huntsman,,Utah,republican,5,1,5,4,1,"a campaign appearance in Milford, N.H."
